name,item_num,rating,price
Mountain Equipment Transalp Down Sleeping Bag,Item #205586,4.2, $123.73
Mountain Equipment Starlight II Sleeping Bag - Men's,Item #205568,0.0, $96.73
Marmot WarmCube Gallatin 20 Sleeping Bag - Long,Item #229814,5.0, $289.73
ALPS Mountaineering Flexcore Air Pad - Double,Item #213448,4.7, $104.73
Sea to Summit Mosquito Pyramid Net Shelter,Item #230603,0.0, $29.73
ALPS Mountaineering Camp Chair - 2022,Item #213471,5.0, $103.73
Big Agnes Sunbeam 0 Sleeping Bag - Women's,Item #223012,4.5, $164.73
Big Agnes Torchlight 20 Sleeping Bag - Women's,Item #223004,5.0, $190.73
"Big Agnes Hinman Self-Inflating Sleeping Pad - 78 x 50 x 2.5""",Item #232445,0.0, $149.73
NEMO Tensor Alpine Air Insulated Sleeping Pad,Item #233378,0.0, $186.73
ALPS Mountaineering Utility Table,Item #213481,0.0, $118.73
ALPS Mountaineering Canyon 30 Pack,Item #149101,3.1, $63.73
Klymit Pillow X - Large,Item #229021,5.0, $24.73
NEMO Tensor Ultralight Insulated Sleeping Pad,Item #233379,0.0, $149.73
Marmot Ultra Elite 30 Sleeping Bag - Men's,Item #224000,4.0, $123.73
GSI Outdoors MicroLite 720 Flip Vacuum Water Bottle - 24 fl. oz.,Item #232074,0.0, $20.73
Princeton Tec Refuel Headlamp,Item #232274,0.0, $18.73
OllyDog Rover Dog Pack,Item #200490,4.0, $36.73
Komperdell Summit Carbon Trekking Poles - Pair,Item #213002,1.7, $87.73
Mountain Hardwear ACI 3 Tent,Item #230937,0.0, $699.73
Gregory Jade 53 Pack - Women's,Item #227814,4.6, $164.73
Mountain Equipment Nova IV Sleeping Bag - Women's Long,Item #205563,0.0, $152.73
Komperdell Cross Stick Compact Trekking Poles - Pair,Item #213014,3.8, $168.73
Big Agnes Big Six Camp Chair,Item #232448,5.0, $149.73
NEMO Stargaze Recliner Luxury Chair,Item #220893,3.8, $224.73
Komperdell Carbon Trail UL Vario Trekking Poles - Pair,Item #212909,3.5, $132.73
Hydro Flask Wide-Mouth Vacuum Water Bottle with Flex Cap - 40 fl. oz.,Item #207809,0.0, $36.73
Hydro Flask Coffee Cup with Flex Sip Lid - 16 fl. oz.,Item #232896,0.0, $23.73
Big Agnes Three Forks Shelter,Item #232443,4.0, $184.73
Mountain Summit Gear Self-Inflating 2.5 Camp Pad - Large,Item #171847,3.7, $62.73
Smith Monterey Polarized Sunglasses - Women's,Item #226981,0.0, $153.73
Rumpl Original Puffy Blanket - Maggie Thompson Edition,Item #234442,0.0, $99.73
Outdoor Research Warnick Sensor Gloves,Item #214932,4.3, $104.73
Ledlenser MH10 Headlamp,Item #234514,0.0, $67.73
Gregory Deva 70 Pack - Women's,Item #222453,4.5, $227.73
Big Agnes Dog House 4 Tent,Item #232438,5.0, $224.73
Hydro Flask Coffee Cup with Flex Sip Lid - 20 fl. oz.,Item #232897,0.0, $25.73
Mountain Equipment Lunar II Sleeping Bag - Women's,Item #205578,2.0, $77.73
ALPS Mountaineering Aura +35 Sleeping Bag - Long,Item #184971,3.3, $56.73
Mountain Equipment Nova II Sleeping Bag - Men's,Item #205564,0.0, $131.73
Granite Gear Perimeter 50 Pack,Item #234175,0.0, $174.73
UCO 4-Piece Mess Kit,Item #231022,5.0, $12.73
Gregory 3D Hydro Reservoir - 2 Liters,Item #227818,3.5, $29.73
Osprey Hydraulics LT Reservoir - 1.5 Liters,Item #233342,3.3, $21.73
Black Diamond Moji Charging Station Lantern,Item #231800,5.0, $59.73
Komperdell Carbon Trailstick Trekking Poles - Pair,Item #199157,3.0, $85.73
ALPS Mountaineering Dash Chair,Item #184998,2.2, $52.73
MPOWERD Luci Beam 2-in-1 Solar Headlamp and Flashlight,Item #234024,4.5, $44.73
Mountainsmith Morrison 3 Tent with Footprint,Item #174091,3.5, $118.73
ALPS Mountaineering Baja 40 Pack,Item #193029,4.6, $117.73
ALPS Mountaineering Hydro Trail 17 Pack,Item #142389,3.8, $81.73
Gregory 3D Hydro Reservoir - 3 Liters,Item #227819,3.0, $31.73
Rumpl Stuffable Pillowcase,Item #234445,0.0, $27.73
Gregory Amber 55 Pack - Women's,Item #220920,0.0, $142.73
Mountain Summit Gear Northwood Series II 4-Person Backpacking Tent,Item #171982,3.7, $169.73
Tifosi Aethon Sunglasses,Item #233758,0.0, $49.73
Marmot WarmCube Quilt,Item #229815,4.8, $279.73
ALPS Mountaineering Hydro Trail 15 Pack,Item #142388,4.5, $68.73
ALPS Mountaineering Acropolis 3 Tent,Item #193072,3.9, $162.73
Smith Shift MAG ChromaPop Sunglasses,Item #226972,5.0, $199.73
Sea to Summit Ultra-Sil Stuff Sack - Set of 3,Item #230607,0.0, $34.73
Marmot Ultra Elite 30 Sleeping Bag - Men's Long,Item #224001,0.0, $132.73
Zempire Roco Lounger V2 Camping Chair,Item #227878,5.0, $98.73
Princeton Tec Snap Solo RGB Headlamp,Item #232275,4.5, $33.73
Ledlenser MH11 Headlamp,Item #234515,0.0, $109.73
Leki Khumbu FX TA Trekking Poles - Pair,Item #227462,2.4, $109.73
Sea to Summit X-Bowl,Item #230608,5.0, $12.73
ALPS Mountaineering Tri-Awning Elite Shade Shelter,Item #185080,3.7, $125.73
Smith Leadout PivLock ChromaPop Sunglasses,Item #226970,4.5, $113.73
Big Agnes Goosenest Double-Decker Inflatable Cot,Item #232451,0.0, $374.73
Ledlenser MH7 Headlamp,Item #234516,0.0, $51.73
NEMO Tensor Ultralight Sleeping Pad,Item #233380,0.0, $134.73
Rumpl Sherpa Fleece Puffy Blanket,Item #234444,0.0, $119.73
Mountain Hardwear Lamina 30 Sleeping Bag - Women's Long,Item #222695,0.0, $133.73
"Big Agnes Hinman Self-Inflating Sleeping Pad - 77 x 40 x 4""",Item #232447,3.3, $169.73
Dragon Meridien Polarized Sunglasses,Item #229127,0.0, $137.73
SILKY NATA Double-Edge Hatchet/Machete,Item #229358,3.0, $76.73
ALPS Mountaineering Torrent Dry Bag - 50 Liter,Item #185076,0.0, $27.73
ALPS Mountaineering Eclipse Table,Item #213479,5.0, $51.73
Hydro Flask Standard-Mouth Vacuum Water Bottle with Flex Straw Cap - 24 fl. oz.,Item #232895,0.0, $32.73
Pepper's Freebird Polarized Sunglasses - Women's,Item #233484,0.0, $29.73
ALPS Mountaineering Baja 20 Pack,Item #151561,4.0, $81.73
Mountainsmith Upland 4P Tent,Item #144832,3.8, $108.73
CamelBak Insulated Stainless-Steel Camp Mug - 12 fl. oz.,Item #235025,0.0, $17.73
Granite Gear Perimeter 35 Pack,Item #234174,0.0, $159.73
Tifosi Davos Sunglasses,Item #233757,0.0, $44.73
Cedar Ridge Venture Sleeping Pad,Item #234428,0.0, $41.73
Mountain Equipment Classic Comfort 3.8 Sleeping Pad,Item #205515,2.5, $63.73
Alpine Mountain Gear Weekender Tent 3,Item #189270,3.3, $76.73
Marmot Limestone 4P Tent,Item #229816,4.3, $299.73
Pepper's Mojo Polarized Sunglasses,Item #233487,0.0, $29.73
Osprey Heritage Scarab 30 Pack,Item #233346,0.0, $109.73
Black Diamond Bipod Bivy,Item #231816,0.0, $284.73
Ledlenser P7R Core Rechargeable Flashlight,Item #234520,0.0, $69.73
